U.S. AbilityOne Commission,https://www.usa.gov/federal-agencies/u-s-abilityone-commission,none,http://www.abilityone.gov,"1421 Jefferson Davis Highway Jefferson Plaza 2, Suite 10800 Arlington , VA 22202-3259",(703) 603-7740,"[u'Contact the U.S. AbilityOne Commission', 'http://www.abilityone.gov/contact_us/index.html']"
U.S. Access Board,https://www.usa.gov/federal-agencies/u-s-access-board,none,http://www.access-board.gov/,"1331 F Street, NW Suite 1000 Washington , DC 20004-1111",(202) 272-0080,"[u'Contact the U.S. Access Board', 'http://www.access-board.gov/contact-us', u'File an Accessibility Complaint', 'http://cts.access-board.gov/formsiq/form.do?formset_id=2&ds=fdd&reload=true']"
Administration for Children and Families,https://www.usa.gov/federal-agencies/administration-for-children-and-families,ACF,http://www.acf.hhs.gov/,"370 L'Enfant Promenade, SW Washington , DC 20447",1-202-401-9200,"[u'Contact the Administration for Children and Families (ACF)', 'http://www.acf.hhs.gov/about', u'Child Support', 'http://www.acf.hhs.gov/programs/css/resource/state-and-tribal-child-support-agency-contacts', u'Temporary Assistance for Needy Families (Welfare)', 'http://www.acf.hhs.gov/programs/ofa/help', u'Report Child Abuse and Neglect', 'http://www.childwelfare.gov/pubs/reslist/rl_dsp.cfm?rs_id=5&rate_chno=11-11172', u'Low Income Home Energy Assistance Program ( LIHEAP )', 'http://www.acf.hhs.gov/programs/ocs/programs/liheap', u'LIHEAP State and Territory Contacts (Energy Cost)', 'http://www.acf.hhs.gov/programs/ocs/liheap-state-and-territory-contact-listing', u'LIHEAP Tribal Contacts (Energy Cost)', 'http://www.acf.hhs.gov/programs/ocs/liheap-tribal-contact-listing']"
Administration for Native Americans,https://www.usa.gov/federal-agencies/administration-for-native-americans,none,http://www.acf.hhs.gov/programs/ana/,"2nd Floor, West Aerospace Center 370 L'Enfant Promenade, SW Washington , DC 20447-0002",none,"[u'Contact the Administration for Native Americans', 'http://www.acf.hhs.gov/programs/ana/about']"
Administration on Aging,https://www.usa.gov/federal-agencies/administration-on-aging,AoA,http://www.aoa.gov/,"One Massachusetts Avenue, NW Washington , DC 20001",1-202-619-0724,"[u'Contact the Administration on Aging (AoA)', 'http://acl.gov/About_ACL/Contact_Us/Index.aspx']"
Administration on Developmental Disabilities,https://www.usa.gov/federal-agencies/administration-on-developmental-disabilities,none,http://www.acf.hhs.gov/programs/add/,"HHH 405-D 370 L'Enfant Promenade, S.W. Washington , DC 20447",(202) 690-6590,"[u'Contact the Administration on Developmental Disabilities', 'http://www.acl.gov/Programs/AIDD/Prog_Proj_Contacts/index.aspx']"
Administrative Conference of the United States,https://www.usa.gov/federal-agencies/administrative-conference-of-the-united-states,none,http://acus.gov/,"1120 20th St. NW Suite 706 South Washington , DC 20036",(202) 480-2080,"[u'Contact the Administrative Conference of the United States', 'http://www.acus.gov/contact/staff-directory/']"
Administrative Office of the U.S. Courts,https://www.usa.gov/federal-agencies/administrative-office-of-the-u-s-courts,none,http://www.uscourts.gov/,"One Columbus Circle, NE Washington , DC 20544",none,"[u'Contact the Administrative Office of the U.S. Courts', 'http://www.uscourts.gov/contact.html']"
Advisory Council on Historic Preservation,https://www.usa.gov/federal-agencies/advisory-council-on-historic-preservation,none,http://www.achp.gov/,"401 F Street NW Suite 308 Washington , DC 20001-2637",(202) 517-0200,"[u'Contact the Advisory Council on Historic Preservation', 'http://www.achp.gov/staff.html']"
African Development Foundation,https://www.usa.gov/federal-agencies/african-development-foundation,none,http://www.adf.gov,"1400 I Street, NW Suite 1000 Washington , DC 20005-2248",1-202-673-3916,"[u'Contact the Advisory Council on Historic Preservation', 'http://www.achp.gov/staff.html', 'none']"
